date,op,iterations,warmup_iterations,size,min,q1,med,avg,q3,max,busy_spin
2025-12-04,noop,100000,100,0,0.000005245,0.000010490,0.000010729,0.000010931,0.000010729,0.000600576,false
2025-12-04,noop,100000,100,0,0.000005245,0.000005484,0.000005484,0.000005645,0.000005722,0.000552416,true
2025-12-05,noop,100000,100,0,0.000005245,0.000010490,0.000010729,0.000010849,0.000010729,0.000552654,false
2025-12-05,noop,100000,100,0,0.000005245,0.000005484,0.000005722,0.000005681,0.000005722,0.000576735,true
2025-12-09,noop,100000,100,0,0.000005245,0.000010729,0.000010729,0.000010999,0.000010967,0.000576258,false
2025-12-09,noop,100000,100,0,0.000005245,0.000005484,0.000005722,0.000005680,0.000005722,0.000158548,true
2025-12-10,noop,100000,100,0,0.000005245,0.000010490,0.000010729,0.000010852,0.000010729,0.000622034,false
2025-12-10,noop,100000,100,0,0.000005245,0.000005484,0.000005484,0.000005671,0.000005722,0.000591278,true
2025-12-11,noop,100000,100,0,0.000005245,0.000010490,0.000010490,0.000010813,0.000010729,0.000544548,false
2025-12-11,noop,100000,100,0,0.000005245,0.000005484,0.000005722,0.000005754,0.000005722,0.000607967,true
2025-12-13,noop,100000,100,0,0.000005245,0.000012398,0.000012398,0.000012421,0.000012398,0.000551462,false
2025-12-13,noop,100000,100,0,0.000005245,0.000005484,0.000005722,0.000005702,0.000005722,0.000599384,true
2025-12-14,noop,100000,100,0,0.000005484,0.000010729,0.000010729,0.000011008,0.000010967,0.000159264,false
2025-12-14,noop,100000,100,0,0.000005245,0.000005484,0.000005722,0.000005685,0.000005722,0.000598192,true
2025-12-16,noop,100000,100,0,0.000004530,0.000008821,0.000008821,0.000009101,0.000009060,0.000181198,false
2025-12-16,noop,100000,100,0,0.000004768,0.000005007,0.000005007,0.000005037,0.000005007,0.000164747,true
2025-12-17,noop,100000,100,0,0.000004530,0.000008821,0.000008821,0.000009154,0.000009060,0.000191689,false
2025-12-17,noop,100000,100,0,0.000004530,0.000004768,0.000005007,0.000005002,0.000005007,0.000600815,true
